EXTRACTO TARJETA DE CREDITO
Titular: EJEMPLO DE PRUEBA
Periodo: 01/01/2026 al 31/01/2026
Cupo total: $8.000.000

Fecha;Descripcion;Valor;Saldo
02/01/2026;EXITO POBLADO MEDELLIN;$184.300;$4.184.300
03/01/2026;NETFLIX.COM 8829 LOS GATOS;$26.900;$4.211.200
04/01/2026;RAPPI PRO SUSCRIPCION;$12.900;$4.224.100
05/01/2026;OPENAI *CHATGPT SUBSCR COMPRA INTERNACIONAL;$88.400;$4.312.500
05/01/2026;COMISION TRANSACCION INTERNACIONAL;$2.652;$4.315.152
06/01/2026;SPOTIFY P0A3F STOCKHOLM;$16.900;$4.332.052
07/01/2026;ESTACION TEXACO CL 10;$95.000;$4.427.052
08/01/2026;SMART FIT COLOMBIA;$79.900;$4.506.952
09/01/2026;AVANCE EN EFECTIVO CAJERO;$500.000;$5.006.952
09/01/2026;COMISION POR AVANCE;$27.500;$5.034.452
10/01/2026;RESTAURANTE ANDRES CARNE;$142.000;$5.176.452
11/01/2026;APPLE.COM/BILL ICLOUD;$4.500;$5.180.952
12/01/2026;ADOBE CREATIVE CLOUD COMPRA INTERNACIONAL;$132.600;$5.313.552
12/01/2026;COMISION TRANSACCION INTERNACIONAL;$3.978;$5.317.530
14/01/2026;DISNEY PLUS COLOMBIA;$28.900;$5.346.430
15/01/2026;CLARO COLOMBIA PLAN POSPAGO;$89.900;$5.436.330
16/01/2026;FALABELLA SANTAFE;$267.800;$5.704.130
18/01/2026;CANVA PTY LTD COMPRA INTERNACIONAL;$59.500;$5.763.630
18/01/2026;COMISION TRANSACCION INTERNACIONAL;$1.785;$5.765.415
20/01/2026;PAGO PSE DESDE CUENTA AHORROS;-$1.500.000;$4.265.415
22/01/2026;D1 LAURELES;$63.400;$4.328.815
23/01/2026;YOUTUBE PREMIUM;$22.900;$4.351.715
25/01/2026;UBER TRIP BOGOTA;$28.500;$4.380.215
28/01/2026;INTERESES CORRIENTES;$84.300;$4.464.515
28/01/2026;INTERESES DE AVANCE;$11.200;$4.475.715
28/01/2026;CUOTA DE MANEJO TARJETA;$19.900;$4.495.615
28/01/2026;SEGURO DE VIDA DEUDORES;$12.400;$4.508.015
28/01/2026;IVA COMISION;$6.824;$4.514.839
